"eBay Motors","eBay Auto"
"The product was listed as a simple product as it has limitation for multi-variation items. '.
                    'Reason: ignore variation option is enabled in selling format policy.","Le produit a été mis en vente comme produit simple, car il dépasse les limites associées aux annonces multi-versions. '. 'Motif : l'option Ignorer la version est activée dans les conditions Format de mise en vente."
"The product was listed as a simple product as it has limitation for multi-variation items. '.
                    'Reason: listing type ""auction"" does not support multi-variations.","Le produit a été mis en vente comme produit simple, car il dépasse les limites associées aux annonces multi-versions. '. 'Motif : les annonces multi-versions ne sont pas prises en charge pour le format de mise en vente « Enchères »."
"Change Images for Attribute","Modifier les photos pour l'attribut"
"Duration","Durée"
"Private Listing","Annonce privée"
"%s field(s) were ignored because eBay doesn't allow revise the item if it has sales,
                    bids for auction type or less than 12 hours remain before the item end.","%s champs ont été ignorés dans la mesure où eBay n'autorise pas la modification de l'annonce si l'objet a été vendu, si elle a reçu des enchères pour le format Enchères ou s'il reste moins de 12 heures avant la fin de la vente."
"Duration field(s) was ignored because
                    eBay doesn't allow revise the item if Best Offer is enabled.","Les champs Durée ont été ignorés, car eBay n'autorise pas la modification de l'annonce si l'option Offre directe est activée."
"variations","versions"
"images","photos"
"Communication with eBay is started. Please wait...","Début de la communication avec eBay. Veuillez patienter..."
"Please wait...","Veuillez patienter..."
"product(s) with id(s)","produit(s) avec code"
"Communication with eBay is finished. Please wait...","Fin de la communication avec eBay. Veuillez patienter..."
"Item status was successfully changed to ""Listed"".","Le statut de l'objet a été remplacé par « Mis en vente »."
"Item status was successfully changed to ""Sold"".","Le statut de l'objet a été remplacé par « Vendu »."
"Item status was successfully changed to ""Stopped"".","Le statut de l'objet a été remplacé par « Arrêté »."
"Item status was successfully changed to ""Finished"".","Le statut de l'objet a été remplacé par « Terminé »."
"Item was successfully added","L'objet a été ajouté"
"Method require loaded instance first","La méthode requiert le chargement préalable de l'instance"
"Fixed Price","Prix fixe"
"Auction","Enchères"
"Business Day","Jour ouvrable"
"Business Days","Jours ouvrables"
"Same","Identique"
"New","Neuf"
"New Other","Neuf - Autre"
"New With Defects","Neuf avec défauts"
"Manufacturer Refurbished","Remis à neuf par le fabricant"
"Seller Refurbished","Remis à neuf par le vendeur"
"Used","Occasion"
"Very Good","Très bon état"
"Good","Bon état"
"Acceptable","Etat correct"
"For Parts or Not Working","Pour pièces détachées ou Ne fonctionne pas"
"Free","Gratuite"
"Invalid listing type in attribute.","Type d'annonce non valide dans l'attribut."
"Category ID","N° de catégorie"
"Category Path","Chemin de la catégorie"
"Please choose a condition to add...","Sélectionnez l'état à ajouter..."
"Conditions Combination","Combinaison d'états"
"eBay Values","Valeurs eBay"
"Product Attribute","Attribut du produit"
"Payment status was updated to Paid on eBay.","Le statut du paiement a été remplacé par Payé sur eBay."
"Shipping status was updated to Shipped on eBay.","Le statut de la livraison a été remplacé par Envoyé sur eBay."
"Buyer has changed the shipping address of this order at the time of completing payment on eBay.","L'acheteur a modifié l'adresse de livraison de la commande au moment de finaliser le paiement sur eBay."
"Duplicated eBay orders with ID #%id%.","Les commandes eBay ayant le numéro %id% ont été dupliquées."
"Order Creation Rules were not met. Press Create Order button at Order view page to create it anyway.","Les règles de création de commandes n'ont pas été respectées. Cliquez sur le bouton Créer la commande sur la page de la commande pour la créer quand même."
"Magento Order #%order_id% should be canceled as new combined eBay order #%new_id% was created.","La commande Magento n° %order_id% doit être annulée, car la nouvelle commande combinée eBay n° %new_id% a été créée."
"eBay Order #%old_id% was deleted as new combined order #%new_id% was created.","La commande eBay n° %old_id% a été supprimée, car la nouvelle commande combinée n° %new_id% a été créée."
"Unable to create directory '%directory%'.","Impossible de créer le répertoire %directory%."
"Image %url% was not downloaded.","La photo %url% n'a pas été téléchargée."
"Product import is disabled in eBay Account settings.","L'importation de produits est désactivée dans les paramètres du compte eBay."
"Data obtaining for eBay Item failed. Please try again later.","L'obtention des données pour l'objet eBay a échoué. Veuillez réessayer ultérieurement."
"Product for eBay Item #%id% was created in Magento catalog.","Le produit correspondant à l'objet eBay n° %id% a été créé dans le catalogue Magento."
"Magento Order creation for items listed by M2E Pro is disabled in Account settings.","La création de commandes Magento pour les objets mis en vente via M2E Pro est désactivée dans les paramètres du compte."
"Magento Order creation for items listed by 3rd party software is disabled in Account settings.","La création de commandes Magento pour les objets mis en vente via un logiciel tiers est désactivée dans les paramètres du compte."
"Product import is disabled in Account settings.","L'importation de produits est désactivée dans les paramètres du compte."
"Not Selected Yet","Pas encore sélectionné"
"eBay Shipping","Services de livraison eBay"
"Checkout Message From Buyer","Message de finalisation de l'achat de la part de l'acheteur"
"Customer with ID specified in eBay account settings does not exist.","Le client dont le pseudo est spécifié dans les paramètres du compte eBay n'existe pas."
"Invalid component mode.","Mode du composant non valide."
"Magento Order was canceled.","La commande Magento a été annulée."
"Magento Order cannot be canceled.","Impossible d'annuler la commande Magento."
"Task ""Remove Duplicated Products"" is started. Please wait...","La tâche « Supprimer les produits dupliqués » a démarré. Veuillez patienter..."
"Task ""Remove Duplicated Products"" is finished. Please wait...","La tâche « Supprimer les produits dupliqués » est terminée. Veuillez patienter..."
"Duplicated item %s was found and stopped on eBay.","L'objet dupliqué %s a été trouvé et sa vente a été arrêtée sur eBay."
"Item status was successfully changed to ""Not Listed"".","Le statut de l'objet a été remplacé par « Non mis en vente »."
"Item status was successfully changed to ""Hidden"".","Le statut de l'objet a été remplacé par « Masqué »."
"Task ""Remove Unused Templates"" is started. Please wait...","La tâche « Supprimer les modèles inutilisés » a démarré. Veuillez patienter..."
"Task ""Remove Unused Templates"" is finished. Please wait...","La tâche « Supprimer les modèles inutilisés » est terminée. Veuillez patienter..."
"Task ""Update Listings Products"" is started. Please wait...","La tâche « Mise à jour des produits des annonces » a démarré. Veuillez patienter..."
"Task ""Update Listings Products"" is finished. Please wait...","La tâche « Mise à jour des produits des annonces » est terminée. Veuillez patienter..."
"Task ""Update Listings Products"" for eBay account: ""%s"" is started. Please wait...","La tâche « Mise à jour des produits des annonces » pour le compte eBay « %s » a démarré. Veuillez patienter..."
"Task ""Default Synchronization"" is started. Please wait...","La tâche « Synchronisation par défaut » a démarré. Veuillez patienter..."
"Task ""Default Synchronization"" is finished. Please wait...","La tâche « Synchronisation par défaut » est terminée. Veuillez patienter..."
"The ""Receive"" action is started. Please wait...","La tâche « Réception » a démarré. Veuillez patienter..."
"The ""Receive"" action is finished. Please wait...","La tâche « Réception » est terminée. Veuillez patienter..."
"The ""Receive"" action for eBay account: ""%s"" is started. Please wait...","La tâche « Réception » pour le compte eBay « %s » a démarré. Veuillez patienter..."
"The ""Response"" action is started. Please wait...","La tâche « Répondre » a démarré. Veuillez patienter..."
"The ""Response"" action is finished. Please wait...","La tâche « Répondre » est terminée. Veuillez patienter..."
"Task ""Feedback Synchronization"" is started. Please wait...","La tâche « Synchronisation des évaluations » a démarré. Veuillez patienter..."
"Task ""Feedback Synchronization"" is finished. Please wait...","La tâche « Synchronisation des évaluations » est terminée. Veuillez patienter..."
"The ""Categories Synchronization"" action is started. Please wait...","La tâche « Synchronisation des catégories » a démarré. Veuillez patienter..."
"The ""Categories Synchronization"" action is finished. Please wait...","La tâche « Synchronisation des catégories » est terminée. Veuillez patienter..."
"The ""Categories Synchronization"" action for eBay Site: ""%s"" is started. Please wait...","La tâche « Synchronisation des catégories » pour le site eBay « %s » a démarré. Veuillez patienter..."
"The ""Categories Synchronization"" action for eBay Site: ""%mrk%"" has been successfully completed.","La tâche « Synchronisation des catégories » pour le site eBay « %mrk% » est terminée."
"The ""Receive Details"" action is started. Please wait...","La tâche « Réception des détails » a démarré. Veuillez patienter..."
"The ""Receive Details"" action is finished. Please wait...","La tâche « Réception des détails » est terminée. Veuillez patienter..."
"The ""Receive Details"" action for eBay Site: ""%s"" is started. Please wait...","La tâche « Réception des détails » pour le site eBay « %s » a démarré. Veuillez patienter..."
"The ""Receive Details"" action for eBay Site ""%s"" is in data processing mode. Please wait...","La tâche « Réception des détails » pour le site eBay « %s » est en cours de traitement. Veuillez patienter..."
"The ""Receive Details"" action for eBay Site: ""%mrk%""  has been successfully completed.","La tâche « Réception des détails » pour le site eBay « %mrk% » est terminée."
"eBay Parts Compatibility Synchronization","Synchronisation de la compatibilité des pièces eBay"
"The ""%s"" action is started. Please wait...","La tâche « %s » a démarré. Veuillez patienter..."
"The ""%s"" action is finished. Please wait...","La tâche « %s » est terminée. Veuillez patienter..."
"Task ""Marketplaces Synchronization"" is started. Please wait...","La tâche « Synchronisation des places de marché » a démarré. Veuillez patienter..."
"Task ""Marketplaces Synchronization"" is finished. Please wait...","La tâche « Synchronisation des places de marché » est terminée. Veuillez patienter..."
"eBay Orders Cancellation Synchronization","Synchronisation de l'annulation des commandes eBay"
