"eBay Motors","eBay Motori"
"The product was listed as a simple product as it has limitation for multi-variation items. '.
                    'Reason: ignore variation option is enabled in selling format policy.","Il prodotto è stato messo in vendita come prodotto semplice in quanto presenta una limitazione per le inserzioni con varianti. '. ""Motivo: l'opzione Ignora variante è abilitata nelle Regole sul formato di vendita""."
"The product was listed as a simple product as it has limitation for multi-variation items. '.
                    'Reason: listing type ""auction"" does not support multi-variations.","Il prodotto è stato messo in vendita come prodotto semplice in quanto presenta una limitazione per le inserzioni con varianti. '. ""Motivo: il tipo di inserzione ""Asta online"" non supporta le varianti""."
"Change Images for Attribute","Modifica immagini per attributo"
"Duration","Durata"
"Private Listing","Inserzione privata"
"%s field(s) were ignored because eBay doesn't allow revise the item if it has sales,
                    bids for auction type or less than 12 hours remain before the item end.","Sono stati ignorati %s campo/i in quanto eBay non consente di modificare un oggetto se è stato venduto, se ci sono offerte per l'Asta online o se mancano meno di 12 ore alla scadenza dell'oggetto."
"Duration field(s) was ignored because
                    eBay doesn't allow revise the item if Best Offer is enabled.","Sono stati ignorati i campi relativi alla durata in quanto eBay non consente di modificare un oggetto se è stata abilitata la Proposta d'acquisto."
"variations","varianti"
"images","immagini"
"Communication with eBay is started. Please wait...","La comunicazione con eBay è iniziata. Attendi..."
"Please wait...","Attendi..."
"product(s) with id(s)","prodotti con id"
"Communication with eBay is finished. Please wait...","La comunicazione con eBay è terminata. Attendi..."
"Item status was successfully changed to ""Listed"".","Lo stato dell'oggetto è stato modificato correttamente in ""Messo in vendita""."
"Item status was successfully changed to ""Sold"".","Lo stato dell'oggetto è stato modificato correttamente in ""Venduto""."
"Item status was successfully changed to ""Stopped"".","Lo stato dell'oggetto è stato modificato correttamente in ""Interrotto""."
"Item status was successfully changed to ""Finished"".","Lo stato dell'oggetto è stato modificato correttamente in ""Terminato""."
"Item was successfully added","Oggetto aggiunto correttamente"
"Method require loaded instance first","Il metodo richiede prima un'istanza caricata"
"Fixed Price","Inserzione Compralo Subito"
"Auction","Asta online"
"Business Day","Giorno lavorativo"
"Business Days","Giorni lavorativi"
"Same","Stesso"
"New","Nuovo"
"New Other","Nuovo - Altro"
"New With Defects","Nuovo con difetti"
"Manufacturer Refurbished","Ricondizionato dal produttore"
"Seller Refurbished","Ricondizionato dal venditore"
"Used","Usato"
"Very Good","Ottimo"
"Good","Buono"
"Acceptable","Sufficiente"
"For Parts or Not Working","Per parti di ricambio o non funzionante"
"Free","Gratis"
"Invalid listing type in attribute.","Tipo di inserzione non valido nell'attributo."
"Category ID","ID categoria"
"Category Path","Percorso della categoria"
"Please choose a condition to add...","Seleziona una condizione da aggiungere..."
"Conditions Combination","Combinazione di condizioni"
"eBay Values","Valori eBay"
"Product Attribute","Attributo prodotto"
"Payment status was updated to Paid on eBay.","Stato del pagamento aggiornato in Pagato su eBay."
"Shipping status was updated to Shipped on eBay.","Stato della spedizione aggiornato in Spedito su eBay."
"Buyer has changed the shipping address of this order at the time of completing payment on eBay.","L'acquirente ha modificato l'indirizzo di spedizione di questo ordine al momento di completare il pagamento su eBay."
"Duplicated eBay orders with ID #%id%.","Ordini eBay duplicati con ID #%id%."
"Order Creation Rules were not met. Press Create Order button at Order view page to create it anyway.","Regole di creazione dell'ordine non soddisfatte. Premi il pulsante Crea ordine sulla pagina di visualizzazione dell'ordine per crearlo comunque."
"Magento Order #%order_id% should be canceled as new combined eBay order #%new_id% was created.","È necessario annullare l'ordine Magento #%order_id% poiché un nuovo ordine eBay combinato #%new_id% è stato creato."
"eBay Order #%old_id% was deleted as new combined order #%new_id% was created.","L'ordine eBay #%old_id% è stato eliminato poiché un nuovo ordine combinato #%new_id% è stato creato."
"Unable to create directory '%directory%'.","Impossibile creare la directory '%directory%'."
"Image %url% was not downloaded.","Immagine %url% non scaricata."
"Product import is disabled in eBay Account settings.","L'importazione del prodotto è disabilitata nelle impostazioni di account eBay."
"Data obtaining for eBay Item failed. Please try again later.","Ottenimento dati per oggetto eBay non riuscito. Riprova più tardi."
"Product for eBay Item #%id% was created in Magento catalog.","Il prodotto per l'oggetto eBay #%id% è stato creato nel catalogo Magento."
"Magento Order creation for items listed by M2E Pro is disabled in Account settings.","La creazione dell'ordine Magento per oggetti messi in vendita da M2E Pro è disabilitata nelle impostazioni di account."
"Magento Order creation for items listed by 3rd party software is disabled in Account settings.","La creazione dell'ordine Magento per oggetti messi in vendita da software di terze parti è disabilitata nelle impostazioni di account."
"Product import is disabled in Account settings.","L'importazione del prodotto è disabilitata nelle impostazioni di account."
"Not Selected Yet","Non ancora selezionato"
"eBay Shipping","Spedizione eBay"
"Checkout Message From Buyer","Messaggio di pagamento dall'acquirente"
"Customer with ID specified in eBay account settings does not exist.","Il cliente con l'ID specificato nelle impostazioni di account eBay non esiste."
"Invalid component mode.","Modalità componente non valida."
"Magento Order was canceled.","Ordine Magento annullato."
"Magento Order cannot be canceled.","Impossibile annullare l'ordine Magento."
"Task ""Remove Duplicated Products"" is started. Please wait...","L'attività ""Rimuovi prodotti duplicati"" è iniziata. Attendi..."
"Task ""Remove Duplicated Products"" is finished. Please wait...","L'attività ""Rimuovi prodotti duplicati"" è terminata. Attendi..."
"Duplicated item %s was found and stopped on eBay.","È stato trovato ed interrotto su eBay l'oggetto duplicato %s."
"Item status was successfully changed to ""Not Listed"".","Lo stato dell'oggetto è stato modificato correttamente in ""Non messo in vendita""."
"Item status was successfully changed to ""Hidden"".","Lo stato dell'oggetto è stato modificato correttamente in ""Nascosto""."
"Task ""Remove Unused Templates"" is started. Please wait...","L'attività ""Rimuovi modelli non utilizzati"" è iniziata. Attendi..."
"Task ""Remove Unused Templates"" is finished. Please wait...","L'attività ""Rimuovi modelli non utilizzati"" è terminata. Attendi..."
"Task ""Update Listings Products"" is started. Please wait...","L'attività ""Aggiorna prodotti delle inserzioni"" è iniziata. Attendi..."
"Task ""Update Listings Products"" is finished. Please wait...","L'attività ""Aggiorna prodotti delle inserzioni"" è terminata. Attendi..."
"Task ""Update Listings Products"" for eBay account: ""%s"" is started. Please wait...","L'attività ""Aggiorna prodotti delle inserzioni"" per l'account eBay: ""%s"" è iniziata. Attendi..."
"Task ""Default Synchronization"" is started. Please wait...","L'attività ""Sincronizzazione predefinita"" è iniziata. Attendi..."
"Task ""Default Synchronization"" is finished. Please wait...","L'attività ""Sincronizzazione predefinita"" è terminata. Attendi..."
"The ""Receive"" action is started. Please wait...","L'azione ""Ricezione"" è iniziata. Attendi..."
"The ""Receive"" action is finished. Please wait...","L'azione ""Ricezione"" è terminata. Attendi..."
"The ""Receive"" action for eBay account: ""%s"" is started. Please wait...","L'azione ""Ricezione"" per l'account eBay: ""%s"" è iniziata. Attendi..."
"The ""Response"" action is started. Please wait...","L'azione ""Risposta"" è iniziata. Attendi..."
"The ""Response"" action is finished. Please wait...","L'azione ""Risposta"" è terminata. Attendi..."
"Task ""Feedback Synchronization"" is started. Please wait...","L'attività ""Sincronizzazione Feedback"" è iniziata. Attendi..."
"Task ""Feedback Synchronization"" is finished. Please wait...","L'attività ""Sincronizzazione Feedback"" è terminata. Attendi..."
"The ""Categories Synchronization"" action is started. Please wait...","L'azione ""Sincronizzazione categorie"" è iniziata. Attendi..."
"The ""Categories Synchronization"" action is finished. Please wait...","L'azione ""Sincronizzazione categorie"" è terminata. Attendi..."
"The ""Categories Synchronization"" action for eBay Site: ""%s"" is started. Please wait...","L'azione ""Sincronizzazione categorie"" per il sito eBay: ""%s"" è iniziata. Attendi..."
"The ""Categories Synchronization"" action for eBay Site: ""%mrk%"" has been successfully completed.","L'azione ""Sincronizzazione categorie"" per il sito eBay: ""%mrk%"" è stata completata correttamente."
"The ""Receive Details"" action is started. Please wait...","L'azione ""Ricezione dettagli"" è iniziata. Attendi..."
"The ""Receive Details"" action is finished. Please wait...","L'azione ""Ricezione dettagli"" è terminata. Attendi..."
"The ""Receive Details"" action for eBay Site: ""%s"" is started. Please wait...","L'azione ""Ricezione dettagli"" per il sito eBay: ""%s"" è iniziata. Attendi..."
"The ""Receive Details"" action for eBay Site ""%s"" is in data processing mode. Please wait...","L'azione ""Ricezione dettagli"" per il sito eBay: ""%s"" è in modalità di elaborazione dati. Attendi..."
"The ""Receive Details"" action for eBay Site: ""%mrk%""  has been successfully completed.","L'azione ""Ricezione dettagli"" per il sito eBay: ""%mrk%"" è stata completata correttamente."
"eBay Parts Compatibility Synchronization","Sincronizzazione compatibilità del pezzo di ricambio eBay"
"The ""%s"" action is started. Please wait...","L'azione ""%s"" è iniziata. Attendi..."
"The ""%s"" action is finished. Please wait...","L'azione ""%s"" è terminata. Attendi..."
"Task ""Marketplaces Synchronization"" is started. Please wait...","L'attività ""Sincronizzazione mercati"" è iniziata. Attendi..."
"Task ""Marketplaces Synchronization"" is finished. Please wait...","L'attività ""Sincronizzazione mercati"" è terminata. Attendi..."
"eBay Orders Cancellation Synchronization","Sincronizzazione annullamento ordini eBay"
"Task ""%s"" is started. Please wait...","L'attività ""%s"" è iniziata. Attendi..."
"Task ""%s"" is finished. Please wait...","L'attività ""%s"" è terminata. Attendi..."
"Task ""Orders Cancellation Synchronization"" for eBay account: ""%s"" is started. Please wait...","L'attività ""Sincronizzazione annullamento ordini"" per l'account eBay: ""%s"" è iniziata. Attendi..."
"Reservation period cannot be less than 1 day.","Il periodo di prenotazione non può essere inferiore a 1 giorno."
"eBay Orders Receive Synchronization","Sincronizzazione ricezione ordini eBay"
"Task ""%s"" for eBay account: ""%s"" is started. Please wait...","L'attività ""%s"" per l'account eBay: ""%s"" è iniziata. Attendi..."
"Task ""%s"" for eBay account: ""%acc%"" is in data processing state. Please wait...","L'attività ""%s"" per l'account eBay: ""acc%"" è in stato di elaborazione dati. Attendi..."
"Task ""%s"" for eBay account: ""%s"" is in order creation state.. Please wait...","L'attività ""%s"" per l'account eBay: ""%s"" è in stato di creazione dell'ordine. Attendi..."
"eBay Qty Reserve Cancellation Synchronization","Sincronizzazione annullamento prenotazione quantità eBay"
"eBay Orders Update Synchronization","Sincronizzazione aggiornamenti ordini eBay"
"eBay Orders Synchronization","Sincronizzazione ordini eBay"
"The ""Relist"" action is started. Please wait...","L'azione ""Rimetti in vendita"" è iniziata. Attendi..."
"The ""Relist"" action is finished. Please wait...","L'azione ""Rimetti in vendita"" è terminata. Attendi..."
"The ""Revise"" action is started. Please wait...","L'azione ""Modifica"" è iniziata. Attendi..."
"The ""Revise"" action is finished. Please wait...","L'azione ""Modifica"" è terminata. Attendi..."
"The ""Stop"" action is started. Please wait...","L'azione ""Interruzione"" è iniziata. Attendi..."
"The ""Stop"" action is finished. Please wait...","L'azione ""Interruzione"" è terminata. Attendi..."
"Task ""Update 3rd Party Listings"" has completed with errors. View %sl%listings log%el% for details.","L'attività ""Aggiorna inserzioni di terze parti"" è stata completata con errori. Vedi %sl%listings log%el% per dettagli."
"Task ""Update 3rd Party Listings"" has completed with warnings. View %sl%listings log%el% for details.","L'attività ""Aggiorna inserzioni di terze parti"" è stata completata con avvisi. Vedi %sl%listings log%el% per dettagli."
