"eBay Motors","eBay Motor"
"%s field(s) were ignored because eBay doesn't allow revise the item if it has sales,
                    bids for auction type or less than 12 hours remain before the item end.","Se han omitido determinados campos (%s) porque eBay no permite modificar el artículo si este tiene ventas o pujas en formato Subasta, o bien quedan menos de 12 horas para su finalización."
"Duration field(s) was ignored because
                    eBay doesn't allow revise the item if Best Offer is enabled.","El campo de duración se ha omitido porque eBay no permite modificar el artículo si la opción Mejor oferta está activada."
"variations","variantes"
"images","imágenes"
"Communication with eBay is started. Please wait...","Se ha iniciado la comunicación con eBay. Por favor, espera..."
"Please wait...","Por favor, espera..."
"product(s) with id(s)","producto(s) con identificador(es)"
"Communication with eBay is finished. Please wait...","La comunicación con eBay ha finalizado. Por favor, espera..."
"Item status was successfully changed to ""Listed"".","El estado del artículo se ha cambiado correctamente a ""Puesto en venta""."
"Item status was successfully changed to ""Sold"".","El estado del artículo se ha cambiado correctamente a ""Vendido""."
"Item status was successfully changed to ""Stopped"".","El estado del artículo se ha cambiado correctamente a ""Detenido""."
"Item status was successfully changed to ""Finished"".","El estado del artículo se ha cambiado correctamente a ""Finalizado""."
"Item was successfully added","El artículo se ha añadido correctamente"
"Method require loaded instance first","El método requiere que primero se cargue la instancia"
"Fixed Price","Precio fijo"
"Auction","Subasta"
"Business Day","Día laborable"
"Business Days","Días laborables"
"Same","Igual"
"New","Nuevo"
"New Other","Nuevo de otro tipo"
"New With Defects","Nuevo con defectos"
"Manufacturer Refurbished","Reparado por el fabricante"
"Seller Refurbished","Reparado por el vendedor"
"Used","Usado"
"Very Good","Muy bueno"
"Good","Bueno"
"Acceptable","Aceptable"
"For Parts or Not Working","Para piezas o no funciona"
"Free","Gratis"
"Invalid listing type in attribute.","Tipo de anuncio no válido en el atributo."
"Category ID","Identificador de categoría"
"Category Path","Ruta de categoría"
"Please choose a condition to add...","Elige un estado para añadir..."
"Conditions Combination","Combinación de estados"
"eBay Values","Valores de eBay"
"Product Attribute","Atributo del producto"
"Payment status was updated to Paid on eBay.","El estado de pago se ha actualizado a Pagado en eBay."
"Shipping status was updated to Shipped on eBay.","El estado de envío se ha actualizado a Enviado en eBay."
"Buyer has changed the shipping address of this order at the time of completing payment on eBay.","El comprador ha cambiado la dirección de envío de este pedido en el momento de realizar el pago en eBay."
"Duplicated eBay orders with ID #%id%.","Pedidos de eBay duplicados con el identificador número %id%."
"Order Creation Rules were not met. Press Create Order button at Order view page to create it anyway.","No se han cumplido las reglas de creación de pedidos. Pulsa el botón Crear pedido en la página de vista de pedidos para crearlo de todas formas."
"Magento Order #%order_id% should be canceled as new combined eBay order #%new_id% was created.","El pedido de Magento número %order_id% se debe cancelar ya que se ha creado el nuevo pedido de eBay combinado número %new_id%."
"eBay Order #%old_id% was deleted as new combined order #%new_id% was created.","El pedido de eBay número %old_id% se ha eliminado ya que se ha creado el nuevo pedido combinado número %new_id%."
"Unable to create directory '%directory%'.","No se puede crear el directorio ""%directory%""."
"Image %url% was not downloaded.","No se ha descargado la imagen %url%."
"Product import is disabled in eBay Account settings.","La importación de productos se ha desactivado en la Configuración de tu cuenta de eBay."
"Data obtaining for eBay Item failed. Please try again later.","No se han podido obtener los datos para el artículo de eBay. Inténtalo de nuevo más tarde."
"Product for eBay Item #%id% was created in Magento catalog.","El artículo número %id% de eBay se ha creado en el catálogo de Magento."
"Magento Order creation for items listed by M2E Pro is disabled in Account settings.","La creación de pedidos de Magento para los artículos puestos a la venta por M2E Pro está desactivada en la Configuración de tu cuenta."
"Magento Order creation for items listed by 3rd party software is disabled in Account settings.","La creación de pedidos de Magento para los artículos puestos en venta por software externo está desactivada en la Configuración de tu cuenta."
"Product import is disabled in Account settings.","La importación de productos se ha desactivado en la Configuración de tu cuenta."
"Not Selected Yet","Todavía no se ha seleccionado"
"eBay Shipping","Envíos de eBay"
"Checkout Message From Buyer","Mensaje de Pago y envío del comprador"
"Customer with ID specified in eBay account settings does not exist.","No existe el cliente con el identificador especificado en la Configuración de tu cuenta de eBay."
"Invalid component mode.","Modo de componente no válido."
"Magento Order was canceled.","Se ha cancelado el pedido de Magento."
"Magento Order cannot be canceled.","El pedido de Magento no se puede cancelar."
"Task ""Remove Duplicated Products"" is started. Please wait...","Se ha iniciado la tarea ""Eliminar productos duplicados"". Por favor, espera..."
"Task ""Remove Duplicated Products"" is finished. Please wait...","La tarea ""Eliminar productos duplicados"" ha finalizado. Por favor, espera..."
"Duplicated item %s was found and stopped on eBay.","Se ha encontrado el artículo %s duplicado en eBay y se ha detenido."
"Item status was successfully changed to ""Not Listed"".","El estado del artículo se ha cambiado correctamente a ""Sin poner en venta""."
"Item status was successfully changed to ""Hidden"".","El estado del artículo se ha cambiado correctamente a ""Oculto""."
"Task ""Remove Unused Templates"" is started. Please wait...","Se ha iniciado la tarea ""Eliminar plantillas no utilizadas"". Por favor, espera..."
"Task ""Remove Unused Templates"" is finished. Please wait...","La tarea ""Eliminar plantillas no utilizadas"" ha finalizado. Por favor, espera..."
"Task ""Update Listings Products"" is started. Please wait...","Se ha iniciado la tarea ""Actualizar productos de anuncios"". Por favor, espera..."
"Task ""Update Listings Products"" is finished. Please wait...","La tarea ""Actualizar productos de anuncios"" ha finalizado. Por favor, espera..."
"Task ""Update Listings Products"" for eBay account: ""%s"" is started. Please wait...","Se ha iniciado la tarea ""Actualizar productos de anuncios"" de la cuenta de eBay ""%s"". Por favor, espera..."
"Task ""Default Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización predeterminada"". Por favor, espera..."
"Task ""Default Synchronization"" is finished. Please wait...","La tarea ""Sincronización predeterminada"" ha finalizado. Por favor, espera..."
"The ""Receive"" action is started. Please wait...","Se ha iniciado la acción ""Recibir"". Por favor, espera..."
"The ""Receive"" action is finished. Please wait...","La acción ""Recibir"" ha finalizado. Por favor, espera..."
"The ""Receive"" action for eBay account: ""%s"" is started. Please wait...","Se ha iniciado la acción ""Recibir"" de la cuenta de eBay ""%s"". Por favor, espera..."
"The ""Response"" action is started. Please wait...","Se ha iniciado la acción ""Respuesta"". Por favor, espera..."
"The ""Response"" action is finished. Please wait...","La acción ""Respuesta"" ha finalizado. Por favor, espera..."
"Task ""Feedback Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de votos"". Por favor, espera..."
"Task ""Feedback Synchronization"" is finished. Please wait...","La tarea ""Sincronización de votos"" ha finalizado. Por favor, espera..."
"The ""Categories Synchronization"" action is started. Please wait...","Se ha iniciado la acción ""Sincronización de categorías"". Por favor, espera..."
"The ""Categories Synchronization"" action is finished. Please wait...","La acción ""Sincronización de categorías"" ha finalizado. Por favor, espera..."
"The ""Categories Synchronization"" action for eBay Site: ""%s"" is started. Please wait...","Se ha iniciado la acción ""Sincronización de categorías"" del sitio de eBay ""%s"". Por favor, espera..."
"The ""Categories Synchronization"" action for eBay Site: ""%mrk%"" has been successfully completed.","La acción ""Sincronización de categorías"" del sitio de eBay ""%mrk%"" ha finalizado correctamente. "
"The ""Receive Details"" action is started. Please wait...","Se ha iniciado la acción ""Recibir detalles"". Por favor, espera..."
"The ""Receive Details"" action is finished. Please wait...","La acción ""Recibir detalles"" ha finalizado. Por favor, espera..."
"The ""Receive Details"" action for eBay Site: ""%s"" is started. Please wait...","Se ha iniciado la acción ""Recibir detalles"" del sitio de eBay ""%s"". Por favor, espera..."
"The ""Receive Details"" action for eBay Site ""%s"" is in data processing mode. Please wait...","La acción ""Recibir detalles"" del sitio de eBay ""%s"" se encuentra en estado de procesamiento de datos. Por favor, espera..."
"The ""Receive Details"" action for eBay Site: ""%mrk%""  has been successfully completed.","La acción ""Recibir detalles"" del sitio de eBay ""%mrk%"" ha finalizado correctamente. "
"eBay Parts Compatibility Synchronization","Sincronización de compatibilidad de piezas de eBay"
"The ""%s"" action is started. Please wait...","Se ha iniciado la acción ""%s"". Por favor, espera..."
"The ""%s"" action is finished. Please wait...","La acción ""%s"" ha finalizado. Por favor, espera..."
"Task ""Marketplaces Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de mercados"". Por favor, espera..."
"Task ""Marketplaces Synchronization"" is finished. Please wait...","La tarea ""Sincronización de mercados"" ha finalizado. Por favor, espera..."
"eBay Orders Cancellation Synchronization","Sincronización de cancelación de pedidos de eBay"
"Task ""%s"" is started. Please wait...","Se ha iniciado la tarea ""%s"". Por favor, espera..."
"Task ""%s"" is finished. Please wait...","La tarea ""%s"" ha finalizado. Por favor, espera..."
"Task ""Orders Cancellation Synchronization"" for eBay account: ""%s"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de cancelación de pedidos"" de la cuenta de eBay ""%s"". Por favor, espera..."
"Reservation period cannot be less than 1 day.","El período de reserva no puede ser inferior a un día."
